Stazione, Bergamo - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,81
2016/01/02,71
2016/01/03,43
2016/01/04,45
2016/01/05,41
2016/01/06,36
2016/01/07,31
2016/01/08,40
2016/01/09,61
2016/01/10,39
2016/01/11,34
2016/01/12,26
2016/01/13,15
2016/01/14,35
2016/01/15,20
2016/01/16,23
2016/01/17,14
2016/01/18,25
2016/01/19,39
2016/01/20,53
2016/01/21,51
2016/01/22,60
2016/01/23,64
2016/01/24,69
2016/01/25,45
2016/01/26,36
2016/01/27,46
2016/01/28,95
2016/01/29,44
2016/01/30,68
2016/01/31,59
2016/02/01,46
2016/02/02,70
2016/02/03,30
2016/02/04,25
2016/02/05,26
2016/02/06,41
2016/02/07,14
2016/02/08,20
2016/02/09,13
2016/02/10,11
2016/02/11,17
2016/02/12,33
2016/02/13,40
2016/02/14,38
2016/02/15,23
2016/02/16,31
2016/02/17,20
2016/02/18,28
2016/02/19,28
2016/02/20,25
2016/02/21,20
2016/02/22,48
2016/02/23,52
2016/02/24,20
2016/02/25,28
2016/02/26,29
2016/02/27,20
2016/02/28,5
2016/02/29,5
2016/03/01,12
2016/03/02,29
2016/03/03,11
2016/03/04,20
2016/03/05,15
2016/03/06,27
2016/03/07,25
2016/03/08,19
2016/03/09,23
2016/03/10,28
2016/03/11,26
2016/03/12,31
2016/03/13,19
2016/03/14,24
2016/03/15,25
2016/03/16,13
2016/03/17,24
2016/03/18,23
2016/03/19,20
2016/03/20,19
2016/03/21,20
2016/03/22,33
2016/03/23,23
2016/03/24,22
2016/03/25,29
2016/03/26,39
2016/03/27,34
2016/03/28,36
2016/03/29,20
2016/03/30,23
2016/03/31,25
