Stazione, Cremona - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,45
2016/01/02,33
2016/01/03,35
2016/01/04,37
2016/01/05,41
2016/01/06,52
2016/01/07,51
2016/01/08,59
2016/01/09,59
2016/01/10,39
2016/01/11,33
2016/01/12,18
2016/01/13,18
2016/01/14,31
2016/01/15,26
2016/01/16,28
2016/01/17,14
2016/01/18,29
2016/01/19,33
2016/01/20,61
2016/01/21,62
2016/01/22,87
2016/01/23,84
2016/01/24,96
2016/01/25,101
2016/01/26,71
2016/01/27,81
2016/01/28,86
2016/01/29,77
2016/01/30,105
2016/01/31,48
2016/02/01,35
2016/02/02,43
2016/02/03,38
2016/02/04,28
2016/02/05,28
2016/02/06,55
2016/02/07,29
2016/02/08,27
2016/02/09,36
2016/02/10,17
2016/02/11,22
2016/02/12,30
2016/02/13,34
2016/02/14,40
2016/02/15,33
2016/02/16,8
2016/02/17,10
2016/02/18,33
2016/02/19,38
2016/02/20,33
2016/02/21,32
2016/02/22,55
2016/02/23,61
2016/02/24,24
2016/02/25,25
2016/02/26,25
2016/02/27,16
2016/02/28,5
2016/02/29,5
2016/03/01,31
2016/03/02,39
2016/03/03,5
2016/03/04,24
2016/03/05,22
2016/03/06,34
2016/03/07,38
2016/03/08,26
2016/03/09,21
2016/03/10,33
2016/03/11,28
2016/03/12,30
2016/03/13,18
2016/03/14,22
2016/03/15,30
2016/03/16,15
2016/03/17,36
2016/03/18,34
2016/03/19,30
2016/03/20,28
2016/03/21,33
2016/03/22,31
2016/03/23,20
2016/03/24,29
2016/03/25,28
2016/03/26,38
2016/03/27,37
2016/03/28,31
2016/03/29,21
2016/03/30,22
2016/03/31,31
