Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2019/01/01,65
2019/01/02,17
2019/01/03,12
2019/01/04,35
2019/01/05,55
2019/01/06,56
2019/01/07,77
2019/01/08,84
2019/01/09,24
2019/01/10,14
2019/01/11,24
2019/01/12,44
2019/01/13,60
2019/01/14,14
2019/01/15,17
2019/01/16,34
2019/01/17,41
2019/01/18,37
2019/01/19,18
2019/01/20,42
2019/01/21,39
2019/01/22,62
2019/01/23,43
2019/01/24,64
2019/01/25,50
2019/01/26,70
2019/01/27,64
2019/01/28,43
2019/01/29,44
2019/01/30,25
2019/01/31,41
2019/02/01,26
2019/02/02,32
2019/02/03,29
2019/02/04,30
2019/02/05,36
2019/02/06,44
2019/02/07,57
2019/02/08,59
2019/02/09,53
2019/02/10,62
2019/02/11,21
2019/02/12,12
2019/02/13,14
2019/02/14,45
2019/02/15,62
2019/02/16,74
2019/02/17,71
2019/02/18,41
2019/02/19,21
2019/02/20,53
2019/02/21,69
2019/02/22,63
2019/02/23,33
2019/02/24,21
2019/02/25,48
2019/02/26,39
2019/02/27,44
2019/02/28,42
2019/03/01,38
2019/03/02,34
2019/03/03,29
2019/03/04,24
2019/03/05,19
2019/03/06,31
2019/03/07,29
2019/03/08,22
2019/03/09,10
2019/03/10,12
2019/03/11,8
2019/03/12,8
2019/03/13,11
2019/03/14,18
2019/03/15,8
2019/03/16,7
2019/03/17,14
2019/03/18,7
2019/03/19,-999
2019/03/20,17
2019/03/21,22
2019/03/22,33
2019/03/23,41
2019/03/24,34
2019/03/25,20
2019/03/26,10
2019/03/27,12
2019/03/28,12
2019/03/29,19
2019/03/30,32
2019/03/31,33
